"Method","Bias","MAD","MSE","MAPE","RSFE","Tracking_Signal"
"Naive Model",-0.219752941176471,0.487176470588235,0.345835764705882,3.35121152295311,-3.7358,-7.66826853417049
"Trend Model",-1.75785312232316e-16,0.48129958338111,0.332302129432786,3.25804327477145,-3.5527136788005e-15,-7.38150167062857e-15
